ProjectName, URL
Employee-management, https://github.com/alterthedeveloper26/employee-management.git
Typescript-game, https://github.com/GuidovdRiet/typescript-game.git
FreeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp
999iCU,https://github.com/996icu/996.ICU
Vue,https://github.com/vuejs/vue
Free Programming Books,https://github.com/EbookFoundation/free-programming-books
React,https://github.com/facebook/react
Tensorflow,https://github.com/tensorflow/tensorflow
Bootstrap,https://github.com/twbs/bootstrap
Awesome,https://github.com/sindresorhus/awesome
You Don't know,https://github.com/getify/You-Dont-Know-JS
Coding Interview University,https://github.com/jwasham/coding-interview-university
Developer Roadmap,https://github.com/kamranahmedse/developer-roadmap
Oh-my-Zsh,https://github.com/robbyrussell/oh-my-zsh
CsNote,https://github.com/CyC2018/CS-Notes
Gitignore,https://github.com/github/gitignore 
System-Design-Primer,https://github.com/donnemartin/system-design-primer
Vs-Code,https://github.com/microsoft/vscode
Javascript-style-guide,https://github.com/airbnb/javascript
Flutter,https://github.com/flutter/flutter
Linux,https://github.com/torvalds/linux
D3,https://github.com/d3/d3
Python-100-Days,https://github.com/jackfrued/Python-100-Days
Public-API,https://github.com/public-apis/public-apis
React-Native,https://github.com/facebook/react-native
Electron,https://github.com/electron/electron
Awesome-Python,https://github.com/vinta/awesome-python
JavaGuide,https://github.com/Snailclimb/JavaGuide
Create-React-App,https://github.com/facebook/create-react-app
Python-Algorithms,https://github.com/TheAlgorithms/Python
The Art Of Command line,https://github.com/jlevy/the-art-of-command-line
Build Your Own X,https://github.com/danistefanovic/build-your-own-x
Axios,https://github.com/axios/axios
Javascript Algorithms,https://github.com/trekhleb/javascript-algorithms
Golang/Go,https://github.com/golang/go
NodeJs,https://github.com/nodejs/node
Youtube-dl,https://github.com/ytdl-org/youtube-dl
Kubernetes,https://github.com/kubernetes/kubernetes
Animate,https://github.com/daneden/animate.css
Terminal,https://github.com/microsoft/terminal
Deno,https://github.com/denoland/deno
Tensorflow-Model,https://github.com/tensorflow/models
Font Awesome,https://github.com/FortAwesome/Font-Awesome
Angular,https://github.com/angular/angular
Pupeeteer,https://github.com/puppeteer/puppeteer
Typescript,https://github.com/microsoft/TypeScript
Three.js,https://github.com/mrdoob/three.js
Ant Design,https://github.com/ant-design/ant-design
Laravel,https://github.com/laravel/laravel
Angular Js,https://github.com/angular/angular.js
Material Ui,https://github.com/mui-org/material-ui
Moby,https://github.com/moby/moby
Webpack,https://github.com/webpack/webpack
Thefuck,https://github.com/nvbn/thefuck
Redux,https://github.com/reduxjs/redux
Jquery,https://github.com/jquery/jquery
Reveal.js,https://github.com/hakimel/reveal.js
Atom,https://github.com/atom/atom
Apple Swift,https://github.com/apple/swift
Flask,https://github.com/pallets/flask
Next.js,https://github.com/vercel/next.js
Django,https://github.com/django/django
Socket.io,https://github.com/socketio/socket.io
